tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0843372,movie,Sainikudu,0,2006,169,"Action,Drama",5.1,2047,nm0348015
tt15426988,movie,Good Person,0,2021,101,"Drama,Mystery",6.3,30,
tt1534078,movie,Strangers in the City,0,2010,123,Drama,5.3,23,nm0757081
tt9441050,movie,The 100 Year March: A Philosopher in Poland,0,2018,63,"Documentary,News",5.6,17,nm1919879
tt9760504,movie,NiNoKuni,0,2019,106,"Action,Adventure,Animation",6.1,4324,"nm1077423,nm1293863,nm0652951"
tt0267336,movie,Dakota Bound,0,2001,90,"Action,Adventure,Sci-Fi",3.4,253,nm0799302
tt1641388,movie,Below Zero,0,2011,99,"Horror,Thriller",4.4,900,nm2411837
tt1999822,movie,"Afghanistan, un état impossible?",0,2002,52,Documentary,1.7,43,nm1680298
tt11271038,movie,Licorice Pizza,0,2021,133,"Comedy,Drama,Romance",7.1,147483,nm0000759
tt2507164,movie,Uneasy Lies the Mind,0,2014,90,"Drama,Thriller",5.8,62,nm2818445
tt29606499,movie,Veera Dheera Sooran: Part 2,0,2025,162,Action,7.5,3192,nm6176498
tt2638456,movie,Ghost Day,0,2012,96,"Comedy,Horror",4.4,109,nm0994330
tt0760319,movie,Night Feeders,0,2006,83,Horror,4.6,421,nm0253953
tt34962589,movie,El tema del verano,0,2024,91,Horror,7.3,15,nm0831526
tt3554316,movie,Sins of a Call Girl,0,2014,,Drama,4.7,45,nm1470334
tt15744006,movie,Two Komachis,0,2021,86,Fantasy,4.6,8,nm3614737
tt2796680,movie,Zalizna sotnya,0,2004,97,"Action,Drama,History",6,265,nm0945902
tt2203926,movie,Warmzeit,0,2012,80,Documentary,7.2,7,nm1473520
tt1274295,movie,Kaminey,0,2009,130,"Action,Crime,Drama",7.4,18573,nm0080235
tt2076396,movie,China Gate,0,2011,72,Documentary,7.1,23,nm4706285
tt0446269,movie,Aidan Walsh: Master of the Universe,0,2000,69,"Biography,Documentary,Music",7.7,32,nm1272462
tt2273507,movie,Return to Forever: Inside the Music,0,2012,,Documentary,7.3,10,nm1011564
tt13099236,movie,Ultraviolence,0,2020,75,Documentary,6.8,30,nm1058308
tt3683014,movie,The Claw,0,2021,,Documentary,8.8,15,nm0362136
tt5011626,movie,Good Morning Show,0,2016,104,Comedy,6.2,710,nm0453965
tt0940688,movie,Dunya & Desie,0,2008,98,"Comedy,Drama",6.6,1156,nm0623937
tt7596914,movie,Bandit,0,2017,81,"Crime,Drama",7.8,8,nm3908688
tt2663634,movie,Fuyu no kaidan: Boku to watashi to obaachan no monogatari,0,2009,76,Horror,4.2,8,nm5498585
tt0838254,movie,Cease Fire,0,2006,104,"Comedy,Romance",5.2,2917,nm0586841
tt6413274,movie,Swarajya,0,2011,143,Action,9.2,13,"nm3358805,nm8701051"
tt0990414,movie,Waking Up with Monsters,0,2007,,Comedy,8,12,nm2013657
tt0877590,movie,Ligalig,0,2006,105,"Action,Crime,Drama",4.9,42,nm0599004
tt16806838,movie,Som Pla Noi,0,2021,98,"Comedy,Romance",5,55,"nm8702246,nm1002207"
tt5420848,movie,And-Ek Ghes...,0,2016,94,Documentary,6.3,17,"nm2563871,nm7889758"
tt0471282,movie,Letters from Kanai Nirai,0,2005,113,Drama,6.4,101,nm0474948
tt0880502,movie,The Edge of Heaven,0,2007,116,Drama,7.7,34673,nm0015359
tt1794719,movie,Adjusting Honor,0,2010,102,Action,6.3,18,nm4221414
tt22806134,movie,The Phenomenon,0,2022,94,"Biography,Documentary,Sport",7.6,1058,nm10193854
tt6569888,movie,The Fruit Machine,0,2018,81,Documentary,7.7,82,nm0283763
tt29965193,movie,Tallywacker,0,2023,90,Comedy,9.4,22,nm4877793
tt2030329,movie,Ein mörderisches Geschäft,0,2011,90,Thriller,6.5,87,nm0251690
tt3256432,movie,Money Mechanics,0,2013,106,"Action,Crime,Drama",8.8,8,nm5687229
tt4036590,movie,Speed,0,2015,108,Drama,4.8,14,nm3147876
tt2897642,movie,Evergreen: The Road to Legalization,0,2013,86,Documentary,7,115,nm2051359
tt5537018,movie,Coma,0,2015,97,Documentary,6.6,13,nm7986571
tt33294618,movie,A Girl with Closed Eyes,0,2024,105,"Drama,Thriller",6.6,12,nm1543859
tt1675194,movie,Vijay IPS,0,2006,,"Action,Drama",6.3,11,nm3952418
tt1837540,movie,Cudoviste iz Tamisa,0,2006,77,"Comedy,Mystery,Sci-Fi",6.4,44,nm4310813
tt11349982,movie,Pat & Mat: DIY Troubles,0,2019,57,Animation,7.1,66,nm2365242
tt2254796,movie,Not for Human Consumption,0,2013,108,"Crime,Drama",7.1,47,nm2608588
tt4040386,movie,Les loups,0,2014,107,Drama,6.2,224,nm1834561
tt0425133,movie,Inside Irvin,0,2004,85,Drama,6.2,38,nm1306821
tt10384842,movie,The People vs. Vegas Dave,0,2021,,Documentary,6.2,7,nm2015238
tt4144190,movie,Wiener-Dog,0,2016,88,"Comedy,Drama",5.9,11481,nm0001754
tt1018712,movie,Deutschland privat 2 - Im Land der bunten Träume,0,2007,84,Comedy,5.9,59,"nm0885554,nm0959016"
tt5573572,movie,70X7: Sewentig Maal Sewe,0,2015,88,Drama,7,15,nm6701121
tt5074602,movie,Monstrosity,0,2016,62,Thriller,6.2,16,nm5301898
tt11349892,movie,Good,0,2020,80,Drama,6.8,89,nm1875997
tt2532814,movie,Mero Love Story,0,2011,,Romance,7.3,789,nm4741169
tt0331952,movie,The Clearing,0,2004,95,"Drama,Mystery,Thriller",5.8,14520,nm0115764
tt2559914,movie,Foreign Eye in the Storm,0,2013,48,"Documentary,Drama,History",7.2,11,nm4692105
tt5488870,movie,Burying Yasmeen,0,2019,73,Comedy,5.3,114,nm3968860
tt2075280,movie,Phobia,0,2013,91,"Horror,Thriller",3.4,241,nm0444870
tt30798256,movie,Sinful Paradise: Welcome to Paradise,0,2024,,Drama,6.8,24,"nm4804124,nm6726958"
tt1543029,movie,Mama Africa,0,2011,90,"Biography,Documentary,Music",7,354,nm0442455
tt7861698,movie,Rocking the Couch,0,2018,65,Documentary,5.7,68,nm1117773
tt1220628,movie,I Hope They Serve Beer in Hell,0,2009,105,Comedy,5.2,8811,nm0331606
tt2226016,movie,Liquid Rising,0,2012,87,Documentary,7.2,21,nm5119865
tt5923718,movie,Victor Goodview,0,2018,82,"Comedy,Drama",6.8,41,nm8325595
tt4667084,movie,The Unseen,0,2016,108,"Action,Drama,Horror",5.4,1540,nm0714940
tt15828200,movie,Fungus,0,2023,92,"Action,Adventure,Sci-Fi",3.4,137,"nm3149229,nm1125815,nm7552912,nm1088270"
tt35713900,movie,Pintu-Pintu Surga,0,2025,104,Drama,9.6,13,nm7875818
tt23869106,movie,"Demain, si tout va bien",0,2022,84,Comedy,7.2,7,nm0326006
tt12646520,movie,Chumki,0,2022,,"Horror,Mystery,Romance",6.9,30,nm7061435
tt11332430,movie,"Moravia, O Fair Land III",0,2019,67,"Documentary,Horror,Musical",6.3,8,nm7665856
tt29628290,movie,El latido del cielo,0,2023,75,Documentary,6.6,12,nm10978790
tt2709656,movie,Faeryville,0,2014,95,"Action,Drama,Fantasy",5.6,79,nm1938697
tt2877280,movie,Lil Bub & Friendz,0,2013,65,Documentary,6.8,164,"nm5287471,nm5648382"
tt0365736,movie,See Grace Fly,0,2003,91,Drama,7.6,101,nm1157811
tt3486826,movie,The Girl Who Played with the Dead,0,2014,64,Horror,4.2,56,nm2944301
tt1789037,movie,Neander-Jin: The Return of the Neanderthal Man,0,2011,81,"Comedy,Romance",7.1,39,nm3198086
tt4412118,movie,Taste of China,0,2015,86,Documentary,6.1,13,nm7094220
tt15387726,movie,Deoseuteu maen,0,2020,91,Drama,6,30,nm8906832
tt10779254,movie,Talking About the Weather,0,2022,89,Drama,6.3,546,nm5558741
tt12452636,movie,Myopia,0,2020,86,Drama,8.4,43,nm3932998
tt8524590,movie,Hitlers Courts - Betrayal of the rule of Law in Nazi Germany,0,2005,,Documentary,4.5,14,"nm1393735,nm0474889"
tt7685038,movie,Blow Up of Blow Up,0,2016,54,Documentary,5.8,92,nm9450883
